customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost
3,121,item2,2024-05-20,2,50,8,400
13,121,item1,2024-05-14,2,212,3,636
19,121,item7,2024-08-08,3,100,6,600
8,122,item2,2024-07-04,5,50,10,500
1,122,item5,2024-08-05,6,110,6,660
5,121,item1,2024-05-15,3,212,10,2120
2,121,item5,2024-04-18,3,110,6,660
6,123,item5,2024-06-01,7,110,2,220
16,121,item2,2024-07-27,2,50,6,300
15,123,item7,2024-04-20,7,100,1,100
8,122,item4,2024-05-31,4,52,2,104
8,122,item8,2024-05-21,5,40,1,40
7,121,item8,2024-08-18,2,40,10,400
18,122,item5,2024-07-29,5,110,7,770
9,122,item5,2024-04-29,4,110,1,110
3,121,item6,2024-05-26,1,1.5,1,1.5
5,122,item5,2024-04-12,4,110,8,880
2,122,item6,2024-03-13,6,1.5,6,9.0
19,121,item1,2024-03-24,1,212,9,1908
10,122,item2,2024-07-20,5,50,3,150
17,122,item5,2024-03-08,5,110,10,1100
16,123,item2,2024-06-29,9,50,5,250
4,122,item4,2024-03-12,5,52,6,312
10,123,item6,2024-06-14,8,1.5,6,9.0
8,121,item2,2024-04-18,3,50,9,450
5,121,item4,2024-03-13,2,52,2,104
10,122,item2,2024-04-26,5,50,5,250
12,122,item5,2024-05-13,4,110,4,440
3,123,item2,2024-07-20,8,50,9,450
9,123,item6,2024-04-29,9,1.5,9,13.5
4,123,item8,2024-04-17,9,40,9,360
14,122,item4,2024-03-15,6,52,5,260
10,122,item1,2024-04-09,6,212,8,1696
5,121,item4,2024-05-08,1,52,2,104
10,122,item1,2024-04-20,4,212,10,2120
13,122,item3,2024-04-25,6,20,5,100
2,123,item7,2024-03-24,9,100,4,400
18,121,item2,2024-06-30,1,50,8,400
5,122,item8,2024-07-04,5,40,2,80
20,123,item8,2024-05-21,8,40,2,80
19,123,item7,2024-04-08,7,100,3,300
14,122,item6,2024-04-04,5,1.5,1,1.5
19,121,item4,2024-07-08,2,52,1,52
7,122,item1,2024-06-12,6,212,1,212
20,123,item7,2024-05-09,9,100,1,100
1,123,item1,2024-04-12,9,212,4,848
1,122,item1,2024-08-03,4,212,6,1272
4,123,item1,2024-04-04,9,212,5,1060
6,123,item5,2024-04-19,8,110,8,880
2,123,item2,2024-05-10,7,50,6,300
4,123,item7,2024-05-07,7,100,8,800
20,122,item1,2024-05-28,5,212,9,1908
2,122,item5,2024-03-06,5,110,7,770
7,122,item7,2024-06-04,4,100,3,300
14,121,item6,2024-04-21,2,1.5,6,9.0
3,121,item2,2024-05-04,3,50,8,400
8,123,item3,2024-05-04,7,20,8,160
10,121,item8,2024-06-06,2,40,2,80
11,122,item8,2024-03-19,6,40,4,160
6,123,item1,2024-04-28,7,212,7,1484
7,123,item8,2024-07-30,7,40,9,360
20,123,item7,2024-07-12,9,100,2,200
4,123,item2,2024-03-20,7,50,2,100
3,123,item1,2024-03-03,7,212,8,1696
9,123,item5,2024-05-14,9,110,7,770
16,123,item6,2024-04-07,9,1.5,8,12.0
12,123,item3,2024-03-11,9,20,6,120
9,122,item1,2024-08-08,5,212,8,1696
20,122,item4,2024-04-07,5,52,4,208
6,123,item2,2024-07-02,8,50,6,300
7,121,item7,2024-05-16,1,100,8,800
14,121,item3,2024-03-07,3,20,7,140
12,123,item7,2024-06-15,9,100,9,900
1,123,item3,2024-06-07,8,20,5,100
7,121,item1,2024-03-19,2,212,3,636
3,123,item8,2024-03-05,8,40,3,120
10,122,item6,2024-08-16,5,1.5,6,9.0
4,122,item7,2024-03-09,6,100,9,900
7,122,item4,2024-08-16,5,52,3,156
7,122,item7,2024-06-15,6,100,6,600
2,123,item4,2024-07-28,7,52,9,468
4,123,item5,2024-07-22,7,110,5,550
4,121,item3,2024-06-28,1,20,2,40
20,121,item6,2024-08-17,2,1.5,8,12.0
15,122,item5,2024-06-24,4,110,8,880
11,122,item3,2024-06-21,4,20,5,100
3,122,item7,2024-06-23,5,100,9,900
15,121,item6,2024-05-25,2,1.5,8,12.0
19,121,item3,2024-07-31,1,20,7,140
8,123,item7,2024-08-17,7,100,4,400
11,122,item8,2024-04-23,5,40,6,240
13,123,item1,2024-06-02,9,212,5,1060
5,122,item2,2024-03-18,5,50,5,250
6,122,item3,2024-03-19,6,20,4,80
17,122,item6,2024-03-14,4,1.5,9,13.5
5,122,item3,2024-05-08,5,20,1,20
13,121,item4,2024-06-27,2,52,4,208
6,123,item8,2024-05-29,8,40,3,120
4,121,item5,2024-06-03,3,110,1,110
6,123,item7,2024-04-23,7,100,3,300
1,121,item8,2024-06-26,3,40,9,360
14,121,item6,2024-03-18,2,1.5,5,7.5
3,122,item8,2024-05-29,4,40,8,320
8,121,item3,2024-04-07,2,20,10,200
15,123,item3,2024-07-07,7,20,1,20
1,122,item5,2024-05-17,6,110,8,880
18,122,item5,2024-07-06,5,110,1,110
7,122,item5,2024-07-12,5,110,8,880
14,121,item6,2024-05-01,3,1.5,5,7.5
6,122,item8,2024-04-29,5,40,5,200
1,123,item8,2024-06-07,9,40,4,160
16,122,item5,2024-08-06,6,110,3,330
19,122,item6,2024-05-03,5,1.5,9,13.5
3,121,item4,2024-07-02,3,52,4,208
4,122,item2,2024-07-08,4,50,5,250
15,121,item6,2024-07-06,1,1.5,4,6.0
13,123,item8,2024-07-10,8,40,10,400
1,122,item1,2024-04-03,6,212,8,1696
16,122,item7,2024-06-10,5,100,4,400
11,122,item7,2024-06-21,4,100,7,700
14,122,item7,2024-05-16,6,100,5,500
10,122,item4,2024-06-11,4,52,1,52
4,121,item2,2024-03-10,3,50,8,400
15,122,item3,2024-04-28,5,20,8,160
6,122,item4,2024-08-11,5,52,6,312
15,121,item6,2024-08-06,1,1.5,1,1.5
17,121,item7,2024-06-26,1,100,1,100
4,122,item4,2024-07-24,4,52,10,520
7,121,item6,2024-04-29,1,1.5,5,7.5
4,123,item5,2024-05-14,9,110,1,110
10,123,item7,2024-08-13,9,100,8,800
11,122,item5,2024-05-18,6,110,7,770
3,122,item5,2024-05-11,5,110,5,550
14,122,item2,2024-07-19,6,50,10,500
11,123,item4,2024-07-13,8,52,7,364
6,121,item5,2024-06-09,1,110,1,110
20,122,item8,2024-08-01,6,40,5,200
9,121,item3,2024-05-10,1,20,4,80
16,123,item6,2024-05-14,8,1.5,10,15.0
9,123,item2,2024-08-15,8,50,3,150
1,122,item4,2024-07-13,6,52,2,104
14,122,item8,2024-05-30,4,40,6,240
16,123,item8,2024-04-22,7,40,7,280
16,121,item7,2024-04-07,3,100,10,1000
13,122,item8,2024-04-19,5,40,8,320
5,122,item4,2024-04-29,4,52,3,156
12,122,item1,2024-07-02,6,212,3,636
10,123,item8,2024-07-31,9,40,4,160
2,121,item3,2024-03-07,2,20,3,60
15,122,item1,2024-05-27,6,212,10,2120
4,121,item2,2024-08-03,1,50,4,200
12,121,item1,2024-08-11,3,212,2,424
15,121,item3,2024-04-24,2,20,9,180
3,121,item4,2024-03-12,2,52,8,416
16,121,item3,2024-05-24,1,20,10,200
3,123,item6,2024-07-12,9,1.5,5,7.5
3,121,item5,2024-06-11,3,110,5,550
7,122,item8,2024-06-24,5,40,3,120
12,123,item1,2024-04-15,8,212,8,1696
12,122,item5,2024-04-06,4,110,2,220
2,122,item2,2024-03-07,5,50,5,250
5,121,item5,2024-06-20,3,110,4,440
15,122,item7,2024-03-12,4,100,5,500
9,121,item1,2024-08-03,1,212,4,848
14,121,item4,2024-05-23,1,52,8,416
17,122,item2,2024-08-17,5,50,10,500
17,122,item7,2024-05-03,4,100,9,900
2,121,item8,2024-04-12,2,40,4,160
9,121,item1,2024-03-08,2,212,6,1272
2,122,item7,2024-04-09,4,100,8,800
7,121,item3,2024-07-16,1,20,6,120
14,123,item3,2024-07-31,8,20,2,40
6,123,item6,2024-07-26,8,1.5,3,4.5
9,121,item1,2024-03-14,1,212,3,636
5,121,item4,2024-03-12,2,52,4,208
12,123,item6,2024-08-12,7,1.5,3,4.5
9,123,item6,2024-04-06,9,1.5,10,15.0
15,121,item6,2024-05-02,1,1.5,8,12.0
18,121,item6,2024-04-30,2,1.5,1,1.5
20,123,item6,2024-06-05,7,1.5,7,10.5
12,122,item4,2024-07-26,6,52,6,312
14,121,item8,2024-06-01,2,40,7,280
6,121,item8,2024-05-20,3,40,4,160
18,122,item3,2024-07-19,5,20,6,120
8,121,item7,2024-08-08,2,100,10,1000
9,122,item5,2024-08-01,5,110,4,440
3,122,item4,2024-06-04,6,52,3,156
19,122,item7,2024-07-29,5,100,8,800
6,121,item4,2024-05-20,3,52,4,208
12,121,item8,2024-04-26,2,40,7,280
7,123,item6,2024-07-28,8,1.5,8,12.0
13,121,item3,2024-03-23,1,20,10,200
12,121,item2,2024-06-01,1,50,2,100
6,123,item7,2024-07-12,7,100,6,600
14,123,item2,2024-03-13,8,50,9,450
8,122,item6,2024-04-27,4,1.5,4,6.0
6,123,item4,2024-04-24,8,52,3,156
7,123,item6,2024-08-14,8,1.5,3,4.5
10,123,item2,2024-07-13,9,50,7,350
18,123,item6,2024-03-09,7,1.5,4,6.0
20,122,item2,2024-06-27,4,50,4,200
16,122,item5,2024-05-07,6,110,7,770
7,123,item2,2024-05-12,7,50,2,100
13,121,item8,2024-05-19,2,40,9,360
1,123,item8,2024-08-03,8,40,8,320
9,122,item3,2024-08-17,5,20,4,80
12,122,item1,2024-06-23,4,212,4,848
6,122,item1,2024-05-08,4,212,1,212
11,122,item5,2024-03-10,5,110,2,220
8,122,item1,2024-07-24,6,212,9,1908
2,121,item6,2024-08-06,3,1.5,5,7.5
1,122,item8,2024-03-22,6,40,7,280
5,123,item2,2024-08-05,8,50,3,150
1,122,item4,2024-04-25,6,52,6,312
19,122,item6,2024-06-20,5,1.5,8,12.0
14,121,item7,2024-03-31,2,100,2,200
8,121,item3,2024-04-05,1,20,8,160
9,122,item5,2024-04-27,4,110,1,110
6,123,item4,2024-08-01,7,52,10,520
2,122,item1,2024-04-08,6,212,5,1060
13,121,item1,2024-07-27,2,212,4,848
18,122,item1,2024-08-08,6,212,2,424
12,121,item3,2024-05-31,1,20,3,60
16,122,item8,2024-07-04,5,40,8,320
2,121,item8,2024-04-23,3,40,8,320
13,121,item8,2024-03-21,2,40,8,320
8,123,item3,2024-06-16,9,20,3,60
12,121,item1,2024-05-29,3,212,5,1060
14,123,item7,2024-08-16,8,100,7,700
1,121,item5,2024-08-01,3,110,9,990
2,123,item2,2024-03-30,9,50,2,100
3,123,item1,2024-03-19,8,212,7,1484
1,122,item2,2024-03-15,6,50,10,500
19,123,item4,2024-03-31,8,52,6,312
14,122,item7,2024-03-25,4,100,1,100
4,122,item5,2024-05-26,5,110,5,550
2,121,item7,2024-04-19,2,100,9,900
10,121,item4,2024-03-04,3,52,5,260
11,121,item5,2024-08-12,3,110,10,1100
20,122,item3,2024-04-01,6,20,9,180
17,122,item5,2024-06-21,5,110,4,440
12,121,item2,2024-07-26,2,50,10,500
11,121,item4,2024-06-29,1,52,9,468
3,123,item4,2024-08-16,9,52,9,468
18,123,item6,2024-06-07,9,1.5,6,9.0
18,122,item6,2024-04-02,6,1.5,9,13.5
7,123,item7,2024-07-06,8,100,6,600
